Sample ID,Rep 1 FCM count (cell/g soil),Rep 2 FCM count (cell/g soil)
Desert Soil,8.16E+07,7.63E+07
Desert Soil,7.91E+07,8.12E+07
Desert Soil,1.45E+08,1.46E+08
Scrubland Soil ,2.31E+07,2.33E+07
Scrubland Soil ,3.05E+07,3.08E+07
Scrubland Soil ,2.46E+07,2.46E+07
Grassland Soil ,3.44E+07,3.29E+07
Grassland Soil ,3.33E+07,3.41E+07
Grassland Soil ,3.20E+07,3.13E+07
Pine-Oak forest Soil,4.16E+07,3.94E+07
Pine-Oak forest Soil,4.14E+07,4.20E+07
Pine-Oak forest Soil,5.62E+07,5.69E+07
Subalpine forest Soil ,7.60E+07,8.10E+07
Subalpine forest Soil ,1.72E+08,1.72E+08
Subalpine forest Soil ,1.28E+08,1.30E+08
Desert Litter,4.11E+08,4.66E+08
Desert Litter,1.89E+08,2.01E+08
Desert Litter,6.99E+08,6.43E+08
Scrubland Litter,9.03E+08,9.09E+08
Scrubland Litter ,6.72E+08,6.93E+08
Scrubland Litter ,8.67E+08,8.63E+08
Grassland Litter,8.50E+08,7.93E+08
Grassland Litter ,4.72E+08,4.71E+08
Grassland Litter,7.12E+08,7.03E+08
Pine-Oak forest Litter,3.72E+08,3.73E+08
Pine-Oak forest Litter,4.60E+08,4.77E+08
Pine-Oak forest Litter,2.59E+08,2.31E+08
Subalpine forest Litter,1.07E+09,1.14E+09
Subalpine forest Litter,5.42E+08,5.72E+08
Subalpine forest Litter ,8.68E+08,8.52E+08
