Location,Cell count/g soil,Treatment
Portola Stage,1.89E+08,Control
Portola Stage,1.92E+08,Control
Portola Stage,1.34E+08,Control
Portola Stage,2.02E+08,Dusted
Portola Stage,1.45E+08,Dusted
Portola Stage,6.46E+07,Dusted
Portola Stage,1.49E+08,2 inch
Portola Stage,3.25E+07,2 inch
Portola Stage,5.12E+07,2 inch
Portola Stage,1.17E+08,4 inch
Portola Stage,8.68E+07,4 inch
Portola Stage,4.02E+07,4 inch
Portola Stage,4.29E+07,6 inch
Portola Stage,4.53E+07,6 inch
Portola Stage,4.09E+07,6 inch
Hicks Haul,1.49E+08,Control
Hicks Haul,1.14E+08,Control
Hicks Haul,1.82E+08,Control
Hicks Haul,1.76E+08,Dusted
Hicks Haul,1.42E+08,Dusted
Hicks Haul,1.81E+08,Dusted
Hicks Haul,5.87E+07,2 inch
Hicks Haul,6.60E+07,2 inch
Hicks Haul,1.17E+08,2 inch
Hicks Haul,6.29E+07,4 inch
Hicks Haul,5.13E+07,4 inch
Hicks Haul,7.30E+07,4 inch
Hicks Haul,3.54E+07,6 inch
Hicks Haul,9.78E+07,6 inch
Hicks Haul,7.07E+07,6 inch
West Loma,1.19E+08,Control
West Loma,4.11E+07,Control
West Loma,1.33E+08,Control
West Loma,1.35E+08,Dusted
West Loma,2.23E+08,Dusted
West Loma,1.19E+08,Dusted
West Loma,6.80E+07,2 inch
West Loma,1.48E+08,2 inch
West Loma,7.22E+07,2 inch
West Loma,1.95E+07,4 inch
West Loma,1.30E+08,4 inch
West Loma,1.20E+08,4 inch
West Loma,2.46E+07,6 inch
West Loma,6.23E+07,6 inch
West Loma,3.51E+07,6 inch
